,ID3,Bayes,ID3_var2,ID3_var3
RMSE,45380.63882076624,171402.4916518182,38587.34131594659,45333.705882872
MAE,35742.62019969278,142876.25806451612,1488982909.8333588,35498.48041474654
Accuracy,0.9354838709677419,0.6129032258064516,0.9032258064516128,0.935483870967742
